Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,82000,Riyadh,77000.0,False
Mercedes,E,2014,Gulf Arabic,White,Standard,2.0,Gas,Automatic,49000,Dammam,75000.0,False
Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,108020,Riyadh,197500.0,True
Lexus,GX,2018,Gulf Arabic,White,Semi Full,4.6,Gas,Automatic,53190,Riyadh,179000.0,True
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,105739,Riyadh,26800.0,False
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,55526,Riyadh,27500.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,98659,Riyadh,27500.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,95623,Riyadh,27500.0,False
Hyundai,Elantra,2019,Saudi,Grey,Semi Full,1.6,Gas,Automatic,86000,Dammam,54000.0,False
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,128000,Jeddah,32000.0,False
Chevrolet,Suburban,2015,Other,Black,Full,5.3,Gas,Automatic,189000,Riyadh,107500.0,True
Mercedes,CLA,2020,Other,Black,Full,2.0,Gas,Automatic,15000,Riyadh,410000.0,False
Mercedes,E,2017,Gulf Arabic,White,Full,2.0,Gas,Automatic,98000,Dammam,210000.0,False
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,101000,Jeddah,37000.0,False
Mazda,CX9,2017,Other,Grey,Full,2.5,Gas,Automatic,93000,Dammam,111000.0,False
Genesis,Royal,2015,Saudi,Red,Full,3.8,Gas,Automatic,194000,Riyadh,85000.0,False
Toyota,Corolla,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,176277,Dammam,37000.0,False
Kia,Picanto,2015,Saudi,Other,Standard,1.0,Gas,Automatic,133000,Al-Medina,18500.0,False
Great Wall,Poer,2021,Saudi,White,Full,2.0,Gas,Automatic,4000,Al-Medina,95000.0,False
Nissan,Datsun,2015,Saudi,White,Full,2.4,Gas,Manual,212000,Riyadh,42000.0,False
Jaguar,F-Pace,2018,Saudi,White,Full,2.5,Gas,Automatic,70000,Jeddah,145000.0,False
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,28000,Dammam,95000.0,False
Toyota,Fortuner,2019,Saudi,White,Standard,2.7,Gas,Automatic,113000,Riyadh,105000.0,False
Toyota,FJ,2017,Saudi,White,Full,4.0,Gas,Automatic,144000,Makkah,117000.0,True
Ford,Expedition,2016,Saudi,White,Full,3.5,Gas,Automatic,104000,Dammam,95000.0,False
Honda,Accord,2019,Gulf Arabic,Silver,Full,1.5,Gas,Automatic,8200,Dammam,107000.0,False
Ford,Explorer,2016,Gulf Arabic,Red,Full,3.5,Gas,Automatic,93000,Riyadh,95000.0,False
Toyota,Land Cruiser,2015,Saudi,White,Full,5.7,Gas,Automatic,242,Hail,150000.0,True
Toyota,Land Cruiser,2016,Saudi,White,Full,5.7,Gas,Automatic,64731,Riyadh,172500.0,True
Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,27000,Riyadh,418000.0,False
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,120496,Riyadh,40800.0,False
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,120244,Riyadh,43000.0,False
Hyundai,Accent,2014,Saudi,Black,Standard,1.4,Gas,Automatic,101231,Riyadh,21500.0,False
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,106646,Riyadh,22500.0,False
Toyota,Prado,2018,Saudi,White,Full,4.0,Gas,Automatic,47000,Qassim,137500.0,True
Ford,Expedition,2017,Gulf Arabic,White,Full,5.4,Gas,Automatic,34000,Riyadh,108000.0,False
Hyundai,Elantra,2018,Saudi,Brown,Semi Full,1.6,Gas,Automatic,81000,Riyadh,44000.0,False
Hyundai,Sonata,2018,Saudi,Silver,Semi Full,2.4,Gas,Automatic,99000,Riyadh,62000.0,False
Dodge,Charger,2016,Saudi,Grey,Standard,1.0,Gas,Automatic,151000,Riyadh,69000.0,False
Kia,Cadenza,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,74000,Riyadh,60000.0,False
Toyota,Fortuner,2019,Saudi,White,Full,3.5,Gas,Automatic,40000,Riyadh,120000.0,False
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,78000,Riyadh,36000.0,False
Hyundai,Sonata,2013,Saudi,White,Full,2.4,Gas,Automatic,205000,Riyadh,40000.0,False
Toyota,FJ,2013,Saudi,Bronze,Full,1.0,Gas,Automatic,296000,Riyadh,79000.0,False
Kia,Cadenza,2017,Saudi,Grey,Full,3.5,Gas,Automatic,179000,Riyadh,73000.0,False
Hyundai,Elantra,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,88000,Riyadh,44000.0,False
Hyundai,Elantra,2018,Saudi,Grey,Semi Full,1.6,Gas,Automatic,96000,Riyadh,47000.0,False
Genesis,G80,2019,Saudi,Silver,Semi Full,3.8,Gas,Automatic,66000,Riyadh,120000.0,False
Hyundai,Sonata,2014,Saudi,White,Semi Full,2.4,Gas,Automatic,216000,Riyadh,41000.0,False
Toyota,Camry,2016,Saudi,White,Full,1.0,Gas,Automatic,244000,Riyadh,59000.0,False
Genesis,Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,55000,Riyadh,95000.0,False
Toyota,FJ,2015,Saudi,White,Full,1.0,Gas,Automatic,190000,Riyadh,98000.0,False
Hyundai,Senta fe,2018,Saudi,White,Standard,3.3,Gas,Automatic,41542,Riyadh,69000.0,False
Kia,Optima,2017,Saudi,Black,Semi Full,2.4,Gas,Automatic,245000,Riyadh,45000.0,False
Genesis,Royal,2018,Saudi,Grey,Full,3.8,Gas,Automatic,78000,Riyadh,110000.0,False
Kia,Cadenza,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,180000,Riyadh,57000.0,False
GAC,GS8,2020,Saudi,Blue,Full,2.0,Gas,Automatic,29200,Jeddah,80000.0,False
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,108708,Riyadh,24000.0,False
Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,124758,Riyadh,24000.0,False
Nissan,Sunny,2017,Saudi,Black,Standard,1.5,Gas,Automatic,158218,Riyadh,24500.0,False
Kia,Cadenza,2017,Saudi,Silver,Standard,3.3,Gas,Automatic,83000,Riyadh,50000.0,False
Hyundai,Azera,2018,Saudi,Brown,Semi Full,3.5,Gas,Automatic,79000,Riyadh,75000.0,False
Genesis,G80,2018,Saudi,White,Semi Full,3.8,Gas,Automatic,97000,Riyadh,98000.0,False
Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,122000,Riyadh,50000.0,False
Hyundai,Azera,2017,Saudi,White,Full,3.0,Gas,Automatic,168000,Riyadh,55000.0,False
Nissan,Maxima,2017,Saudi,Brown,Semi Full,1.0,Gas,Automatic,121000,Riyadh,64000.0,False
Toyota,Land Cruiser,2015,Saudi,White,Full,1.0,Gas,Automatic,300000,Riyadh,135000.0,False
Chevrolet,Caprice,2015,Saudi,Black,Standard,6.0,Gas,Automatic,264000,Riyadh,69000.0,False
Dodge,Challenger,2017,Other,White,Full,3.6,Gas,Automatic,113000,Dammam,99000.0,False
Honda,Accord,2018,Gulf Arabic,Golden,Full,2.4,Gas,Automatic,75000,Dammam,92000.0,False
Lexus,ES,2016,Other,Bronze,Semi Full,3.5,Gas,Automatic,88000,Dammam,115000.0,False
Nissan,Datsun,2015,Saudi,White,Semi Full,2.0,Gas,Manual,182000,Dammam,29000.0,False
Chevrolet,Camaro,2016,Other,Red,Full,3.6,Gas,Automatic,94000,Dammam,106000.0,False
Genesis,G80,2020,Saudi,Grey,Semi Full,3.8,Gas,Automatic,11000,Riyadh,125000.0,False
Ford,Taurus,2018,Other,Black,Full,3.5,Gas,Automatic,100000,Dammam,89000.0,False
Ford,Taurus,2015,Other,Black,Semi Full,3.5,Gas,Automatic,103000,Dammam,78000.0,False
Hyundai,Tucson,2019,Saudi,White,Semi Full,1.0,Gas,Automatic,67000,Riyadh,75000.0,False
Kia,Cadenza,2018,Saudi,Silver,Standard,3.3,Gas,Automatic,94000,Riyadh,55000.0,False
Hyundai,Elantra,2019,Saudi,Grey,Standard,2.0,Gas,Automatic,95000,Riyadh,52000.0,False
Hyundai,Accent,2017,Saudi,Grey,Semi Full,1.4,Gas,Automatic,147000,Riyadh,29000.0,False
Genesis,Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,140000,Riyadh,88000.0,False
GMC,Yukon,2016,Saudi,Bronze,Full,6.2,Gas,Automatic,152000,Riyadh,122000.0,False
Toyota,Land Cruiser,2018,Gulf Arabic,Black,Full,5.7,Gas,Automatic,61312,Riyadh,270000.0,False
Nissan,Sunny,2017,Saudi,Grey,Standard,1.5,Gas,Automatic,152973,Riyadh,24500.0,False
Renault,Symbol,2020,Saudi,White,Standard,1.6,Gas,Automatic,46505,Riyadh,26000.0,False
Renault,Fluence,2015,Saudi,Grey,Semi Full,1.6,Gas,Automatic,116633,Riyadh,25500.0,False
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,90418,Riyadh,25500.0,False
Mazda,6,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,129000,Riyadh,65000.0,False
Hyundai,Elantra,2014,Saudi,Grey,Full,2.0,Gas,Automatic,119000,Riyadh,33000.0,False
Honda,Accord,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,173000,Riyadh,68000.0,False
MG,RX5,2018,Saudi,White,Full,3.0,Gas,Automatic,109000,Riyadh,49000.0,False
Ford,Taurus,2016,Saudi,Other,Standard,3.5,Gas,Automatic,136000,Riyadh,58000.0,False
Genesis,G80,2018,Saudi,Other,Semi Full,3.8,Gas,Automatic,97000,Riyadh,98000.0,False
Kia,Cadenza,2019,Saudi,Brown,Standard,3.3,Gas,Automatic,73000,Riyadh,65000.0,False
MG,ZS,2020,Saudi,Blue,Standard,1.5,Gas,Automatic,9300,Taef,55000.0,True
Hyundai,Kona,2019,Saudi,Grey,Full,1.0,Gas,Automatic,22000,Riyadh,77000.0,False
Toyota,Avalon,2016,Other,White,Semi Full,3.5,Gas,Automatic,123000,Riyadh,93000.0,False
Dodge,Charger,2018,Saudi,Red,Standard,3.6,Gas,Automatic,79000,Riyadh,79000.0,False
Hyundai,Senta fe,2016,Saudi,Brown,Semi Full,3.3,Gas,Automatic,126000,Riyadh,63000.0,False
Toyota,FJ,2013,Saudi,Bronze,Semi Full,1.0,Gas,Automatic,154000,Riyadh,77000.0,False
Chrysler,C300,2017,Saudi,Grey,Full,5.7,Gas,Automatic,130000,Riyadh,88000.0,False
Kia,Optima,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,40000,Riyadh,55000.0,False
Hyundai,Azera,2016,Saudi,White,Semi Full,3.0,Gas,Automatic,130000,Riyadh,50000.0,False
Suzuki,APV,2016,Saudi,Black,Standard,1.5,Gas,Manual,110000,Riyadh,29500.0,False
Honda,Accord,2016,Saudi,Brown,Full,1.0,Gas,Automatic,116000,Riyadh,62000.0,False
Peugeot,3008,2018,Saudi,Brown,Full,1.0,Gas,Automatic,30000,Riyadh,79000.0,False
Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,145000,Riyadh,63000.0,False
Kia,Cerato,2019,Saudi,White,Standard,1.6,Gas,Automatic,43629,Jeddah,43500.0,False
Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,106036,Riyadh,25900.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,104688,Riyadh,26000.0,False
Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,86754,Riyadh,26000.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,105509,Riyadh,26000.0,False
Chevrolet,Traverse,2017,Saudi,Silver,Semi Full,2.4,Gas,Automatic,110000,Riyadh,49000.0,False
Honda,Accord,2017,Saudi,White,Standard,1.0,Gas,Automatic,63000,Riyadh,88000.0,False
Genesis,G80,2017,Saudi,Grey,Semi Full,3.8,Gas,Automatic,183000,Riyadh,85000.0,False
Honda,Accord,2012,Saudi,White,Standard,1.0,Gas,Automatic,251000,Riyadh,38000.0,False
Hyundai,Sonata,2018,Saudi,Red,Standard,2.5,Gas,Automatic,63000,Riyadh,58000.0,False
Kia,Optima,2016,Saudi,Black,Semi Full,2.4,Gas,Automatic,91000,Riyadh,45000.0,False
Toyota,Innova,2017,Saudi,White,Full,2.7,Gas,Automatic,180000,Makkah,64000.0,True
Hyundai,Sonata,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,130000,Riyadh,50000.0,False
GMC,Sierra,2011,Other,Silver,Semi Full,5.3,Gas,Automatic,258000,Riyadh,50000.0,False
Honda,Accord,2017,Saudi,Grey,Semi Full,1.0,Gas,Automatic,126000,Riyadh,75000.0,False
Nissan,Maxima,2017,Saudi,White,Full,1.0,Gas,Automatic,135000,Riyadh,73000.0,False
Toyota,Land Cruiser,2014,Saudi,White,Full,4.0,Gas,Automatic,210600,Riyadh,120000.0,False
Hyundai,Sonata,2016,Saudi,Brown,Full,2.0,Gas,Automatic,104000,Riyadh,58000.0,False
Ford,Explorer,2016,Gulf Arabic,Silver,Semi Full,3.5,Gas,Automatic,112000,Riyadh,83000.0,False
Hyundai,Genesis,2017,Other,Blue,Standard,3.8,Gas,Automatic,128000,Riyadh,83000.0,False
Honda,Accord,2017,Saudi,Navy,Semi Full,2.4,Gas,Automatic,223000,Riyadh,75000.0,False
Kia,Cerato,2017,Saudi,White,Standard,1.6,Gas,Automatic,72000,Riyadh,37500.0,False
Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,71000,Riyadh,77000.0,False
Lexus,NX,2017,Gulf Arabic,Black,Full,2.0,Gas,Automatic,63000,Dammam,174000.0,False
Hyundai,Elantra,2019,Saudi,White,Semi Full,1.6,Gas,Automatic,59700,Dammam,54500.0,False
Hyundai,Senta fe,2020,Saudi,Grey,Standard,2.4,Gas,Automatic,93000,Riyadh,82000.0,False
Mercedes,C,2015,Saudi,Silver,Semi Full,2.0,Gas,Automatic,73000,Riyadh,90000.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,96341,Riyadh,26000.0,False
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,87775,Riyadh,26000.0,False
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,89136,Riyadh,26000.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,71913,Riyadh,26500.0,False
MG,RX5,2019,Saudi,White,Full,1.5,Gas,Automatic,39000,Jeddah,56000.0,False
Genesis,G70,2019,Saudi,Grey,Semi Full,2.0,Gas,Automatic,11000,Riyadh,109000.0,False
Ford,Flex,2012,Saudi,Silver,Semi Full,3.5,Gas,Automatic,277000,Dammam,30000.0,False
GMC,Yukon,2015,Saudi,White,Full,5.3,Gas,Automatic,200000,Dammam,150000.0,False
GMC,Yukon,2016,Other,White,Full,6.2,Gas,Automatic,126000,Riyadh,176000.0,False
Mercedes,E,2021,Other,White,Standard,2.0,Gas,Automatic,4000,Riyadh,259000.0,False
Lexus,UX,2019,Gulf Arabic,Blue,Full,2.0,Gas,Automatic,7000,Dammam,165000.0,False
Toyota,Camry,2016,Saudi,White,Semi Full,2.5,Gas,Automatic,238000,Jeddah,48500.0,False
Land Rover,Range Rover,2019,Other,Black,Full,5.0,Gas,Automatic,1800,Riyadh,350000.0,False
Toyota,Yaris,2015,Saudi,White,Standard,1.4,Gas,Automatic,193000,Dammam,25000.0,False
Mercedes,S,2015,Other,Navy,Full,3.0,Gas,Automatic,46000,Dammam,210000.0,False
Kia,Picanto,2015,Saudi,Other,Standard,1.0,Gas,Automatic,136000,Al-Medina,18500.0,False
Hyundai,Sonata,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,55000,Riyadh,60000.0,False
Kia,Cores,2014,Saudi,White,Full,3.5,Gas,Automatic,81000,Jeddah,78000.0,False
Honda,Accord,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,32000,Jeddah,97000.0,False
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,97000,Dammam,68000.0,False
Hyundai,Kona,2019,Saudi,Black,Standard,2.0,Gas,Automatic,76000,Jeddah,56000.0,False
Hyundai,Creta,2017,Saudi,Silver,Semi Full,1.6,Gas,Automatic,125000,Al-Ahsa,57000.0,False
Mercedes,S,2014,Gulf Arabic,Navy,Full,4.7,Gas,Automatic,102000,Makkah,235000.0,True
Chevrolet,Impala,2018,Saudi,Silver,Standard,3.6,Gas,Automatic,75000,Riyadh,64000.0,False
GMC,Yukon,2011,Saudi,White,Full,8.0,Gas,Automatic,200,Taef,70000.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,88795,Riyadh,26500.0,False
Kia,Rio,2016,Saudi,Grey,Standard,1.4,Gas,Automatic,272232,Riyadh,26500.0,False
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,145161,Riyadh,27000.0,False
Nissan,Sunny,2018,Saudi,Grey,Standard,1.5,Gas,Automatic,117081,Riyadh,27000.0,False
Honda,Odyssey,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,192000,Dammam,58000.0,False
Mazda,6,2014,Other,Black,Full,2.5,Gas,Manual,201000,Riyadh,42000.0,False
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,39000,Riyadh,131500.0,False
Nissan,Sylvian Bus,2018,Saudi,White,Full,3.0,Gas,Manual,3000,Riyadh,107000.0,False
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,86000,Riyadh,127000.0,False
Lexus,LX,2018,Saudi,White,Full,1.0,Gas,Automatic,105000,Riyadh,355000.0,False
Land Rover,Range Rover,2014,Saudi,White,Full,5.0,Gas,Automatic,131000,Riyadh,230000.0,False
Hyundai,H1,2015,Saudi,Black,Semi Full,2.4,Gas,Automatic,131000,Al-Medina,42000.0,False
Mercedes,S,2015,Other,Black,Full,3.0,Gas,Automatic,109000,Riyadh,199000.0,False
Toyota,Camry,2019,Saudi,Black,Full,2.5,Gas,Automatic,13000,Riyadh,94000.0,False
Toyota,Camry,2020,Saudi,Brown,Standard,2.5,Gas,Automatic,37000,Riyadh,80000.0,False
Toyota,Hilux,2014,Saudi,White,Standard,2.5,Gas,Manual,125000,Riyadh,40000.0,False
Ford,Taurus,2019,Saudi,Black,Standard,2.0,Gas,Automatic,49000,Riyadh,82000.0,False
Toyota,Camry,2019,Saudi,Black,Standard,2.5,Gas,Automatic,48000,Riyadh,80000.0,False
Hyundai,Sonata,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,116000,Riyadh,55000.0,False
Ford,Expedition,2013,Saudi,White,Standard,5.4,Gas,Automatic,235000,Riyadh,50000.0,False
Nissan,Patrol,2015,Saudi,Other,Full,5.6,Gas,Automatic,228000,Riyadh,130000.0,False
Chevrolet,Tahoe,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,233000,Riyadh,98000.0,False
Toyota,Land Cruiser Pickup,2018,Saudi,Other,Standard,4.0,Gas,Manual,98000,Riyadh,105000.0,False
Genesis,G80,2019,Saudi,Other,Semi Full,3.3,Gas,Automatic,50000,Riyadh,125000.0,False
Lexus,LX,2018,Gulf Arabic,Golden,Full,7.5,Gas,Automatic,122000,Taef,340000.0,False
Kia,Sportage,2020,Saudi,White,Semi Full,2.4,Gas,Automatic,43000,Riyadh,95916.0,True
Renault,Duster,2017,Saudi,White,Standard,2.0,Gas,Automatic,49597,Riyadh,27500.0,False
Changan,Seven,2020,Saudi,Silver,Standard,1.5,Gas,Automatic,37644,Riyadh,27500.0,False
Changan,Seven,2020,Saudi,White,Standard,1.5,Gas,Automatic,55531,Riyadh,27500.0,False
Changan,Seven,2020,Saudi,Silver,Standard,1.5,Gas,Automatic,49214,Riyadh,27500.0,False
Mercedes,GLC,2017,Gulf Arabic,White,Full,2.0,Gas,Manual,143000,Riyadh,155000.0,False
Chevrolet,Impala,2017,Gulf Arabic,Black,Standard,3.5,Gas,Automatic,89000,Riyadh,62000.0,False
